"02edf25d-f5da-4731-947f-a108331fdc98","1","WUNG","Spring 2023"
"03049452-f640-4164-86fd-d3e8b0211f62","4","UNDC","Spring 2022"
"030eb3cf-d66e-499d-a3da-60eb88aab31f","1","WUNG","Spring 2023"
"03196981-8cf7-442e-acdb-c439b0562fcb","4","UNDC","Spring 2023"
"031b0ea3-f4de-404f-aa06-66119e08a19b","4","UNDC","Spring 2022"
"032ccbf7-57c3-4d17-8004-1a8d4cbfeb0c","11","MPAI","Spring 2020"
"033596de-12eb-4877-a81c-627a914ac088","4","UNDC","Spring 2023"
"033e1b31-8c80-483a-8c39-df3199ce1b2f","4","UNDC","Spring 2023"
"03427347-1520-41f8-b4ad-931e87eb96b6","2","NETS","Spring 2022"
"0351d71c-e06f-47a3-a124-1177c9201db4","11","MPAI","Spring 2020"
"03628fe8-fda2-4818-8cef-3120aadce9da","2","CSCI","Spring 2022"
"0366044c-bfcb-45c6-9d39-b3f181958a75","4","UNDC","Spring 2023"
"0373dc02-a1ba-4244-bcce-0764969306b3","2","MEAM","Spring 2023"
"037ce2ce-837e-45fd-873c-49cb062f2402","1","WUNG","Spring 2022"
"037e5cb1-7c12-419c-be10-646c49abc3f3","2","CSCI","Spring 2022"
"0388d967-cac5-4798-bfe4-069572bc754a","1","BUAN","Spring 2021"
"0388d967-cac5-4798-bfe4-069572bc754a","1","FNCE","Spring 2021"
"03915b57-9309-4681-a7b5-ce95204b2cb3","2","CSCI","Spring 2023"
"03cda5e9-7552-4dc3-b4ee-433bb6117624","1","WUNG","Spring 2023"
"03cda5e9-7552-4dc3-b4ee-433bb6117624","2","CSCI","Spring 2023"
"041e4549-dc89-4fdd-98a5-ba685c2c9356","2","CD","Spring 2023"
"04203f37-05ef-469a-a7d9-6fcaeed54b85","1","WUNG","Spring 2022"
"0422d577-80ba-4941-b803-78ebc23938d9","4","UNDC","Spring 2023"
"043c1532-0b5d-4bc1-b6ba-881691b8073d","1","WUNG","Spring 2022"
"04426f82-aa3c-4966-9567-088ba1778df1","9","BIOT","Spring 2021"
"045341a3-3e36-42b1-ada4-e210785d0e35","2","CSCI","Spring 2023"
"045d207f-4224-4d42-a19e-da5640cfe892","2","MEAM","Spring 2022"
"045d2d44-1102-439d-8518-6d405a7cbad7","4","UNDC","Spring 2023"
"0467e3d9-998c-4c5f-be1c-7ff16fc3eb8b","4","UNDC","Spring 2022"
"0491140b-d0e1-442b-a327-57f8b2056334","2","CSCI","Spring 2021"
"0491140b-d0e1-442b-a327-57f8b2056334","2","MATH","Spring 2021"
"0495d15e-533f-4b58-878a-2a47a49b34e9","4","UNDC","Spring 2023"
"04a6ff76-bbeb-4e26-b22e-2ca08d602491","4","UNDC","Spring 2023"
"04a89107-a381-46b5-bcdf-43c22c324ed0","4","PPE","Spring 2021"
"04b736ec-4473-4d5a-af2b-79b2820324a1","1","WUNG","Spring 2023"
"04b736ec-4473-4d5a-af2b-79b2820324a1","2","CSCI","Spring 2023"
"04c30ea8-3fe7-4673-93a5-96acb3e2e104","4","UNDC","Spring 2023"
"04df27f9-26b6-4eb6-8d4f-dabb01f35f7d","2","BE","Spring 2020"
"04e04ec0-d79d-4a2c-b628-2e4d5d4bc504","4","UNDC","Spring 2022"
"04f78d86-e7db-4c6a-9dd2-8be8ab3915e5","4","UNDC","Spring 2022"
"05039387-c043-4700-b2de-029a7a5689e5","4","LGIC","Spring 2020"
"0526e4a0-966f-4041-9513-232261c08bba","4","UNDC","Spring 2022"
"052a99fc-f825-4300-b35f-9518df8cad1b","1","WUNG","Spring 2021"
"052a99fc-f825-4300-b35f-9518df8cad1b","4","MATH","Spring 2021"
"0556bd8e-b10d-448e-a71c-4ece03bd3bf6","9","CGGT","Spring 2021"
"0567016d-f2fc-4985-826f-e45fd265021f","2","CSCI","Spring 2022"
"056e7068-40f5-4e61-92dd-d075fdc171ec","1","BUAN","Spring 2019"
"056e7068-40f5-4e61-92dd-d075fdc171ec","1","FNCE","Spring 2019"
"057e839e-055c-49aa-876a-bdf6e8246616","2","CSCI","Spring 2023"
"0598662a-2068-4688-b422-c404b31e707e","4","UNDC","Spring 2022"
"059a7b56-e1bd-4b44-993f-a97d0ff87922","4","UNDC","Spring 2023"
"05a1061a-c0c0-4197-bcb4-b850dbeab751","4","UNDC","Spring 2023"
"05d1aebd-f962-41ac-9a2d-674ca151c446","1","WUNG","Spring 2022"
"05e5b5a1-8046-4ff2-ab15-c4fcb477f120","1","INSP","Spring 2022"
"05e5b5a1-8046-4ff2-ab15-c4fcb477f120","4","INSP","Spring 2022"
"05f1164e-4d39-4c2c-a32c-4810e482ff54","4","PPE","Spring 2021"
"05f28cf0-2a4f-49fc-8b81-b5552dcffd1e","2","CSCI","Spring 2023"
"05f50f4d-7023-43fb-865e-2b13b30382c5","2","CMPE","Spring 2022"
"0617b861-13c9-459a-bb39-6451b5a3689b","4","UNDC","Spring 2022"
"0620c88e-086c-4661-b20f-0b5d527d098c","2","DMD","Spring 2021"
"062fa6b2-7ba2-4f01-bf46-cdbf6faed2ce","4","UNDC","Spring 2022"
"06328d21-7151-4e5e-b733-3bb52980cbf9","4","UNDC","Spring 2023"
"06593240-c5d9-4f7e-a7fb-6e7ef5178872","4","BCHE","Spring 2021"
"0661c5ba-a502-4cc0-8053-fc082ef113fc","13","MAOM","Spring 2020"
"06749fd2-5e9f-4f3f-a478-3b0a04d1cd0f","4","UNDC","Spring 2023"
"067f47fb-df7c-45e6-89e4-39f998731d5b","1","WUNG","Spring 2022"
"067f47fb-df7c-45e6-89e4-39f998731d5b","4","UNDC","Spring 2022"
"0692176f-e3d0-4536-98dc-8837623745f2","1","FNCE","Spring 2020"
"0692176f-e3d0-4536-98dc-8837623745f2","1","OIDD","Spring 2020"
"069337c4-2045-4768-9dcf-e63cc13968dc","6","NURS","Spring 2022"
"069d691e-64d4-4f5a-bf4b-699a42ea8436","4","UNDC","Spring 2023"
"069dc317-77e7-4448-b710-f529250b10aa","4","UNDC","Spring 2023"
"06bcf616-5247-4a86-8c6e-290197ce2686","2","MSE","Spring 2023"
"06c92d9a-ea06-4e48-bbea-754a5d110329","1","WUNG","Spring 2022"
"06c92d9a-ea06-4e48-bbea-754a5d110329","2","BE","Spring 2022"
"06de929e-6385-4875-a2cd-dafae3e2bf76","10","EDUC","Spring 2024"
"06f3224a-6374-428a-b836-eb223754cb69","4","PPE","Spring 2020"
"070e21b0-373c-4291-90a6-1be5b541e6bf","1","WUNG","Spring 2023"
"070e21b0-373c-4291-90a6-1be5b541e6bf","4","UNDC","Spring 2023"
"07153921-f740-411c-9319-3c4bb4133bea","4","UNDC","Spring 2022"
"072a0a9b-7c63-4f00-97e8-1632c56ef48a","4","UNDC","Spring 2022"
"07307e3a-3aa5-4e28-a128-0e6478731c55","1","WUNG","Spring 2022"
"07334ad3-8b23-4d79-9f54-e0cd6e8e5e82","1","INSP","Spring 2022"
"07334ad3-8b23-4d79-9f54-e0cd6e8e5e82","4","INSP","Spring 2022"
"0736f0df-ce3f-4445-8a79-d53d916e0611","6","NURS","Spring 2023"
"0747f44e-1ad2-4dad-baeb-a37412f54e57","1","WUNG","Spring 2023"
"074e45f7-1a37-4194-a715-24b3a1f41270","1","WUNG","Spring 2021"
"0754f319-882a-4bee-bd58-9a9035e6067b","1","WUNG","Spring 2023"
"077ba8df-e91d-481a-ae4d-30d46b073b9e","2","EE","Spring 2021"
"0781e3cb-c65b-4721-9769-a143b1b8512c","4","UNDC","Spring 2022"
"078bc146-5c61-469e-93ab-e1e6bb191002","4","MAEC","Spring 2021"
"079eb414-0cd8-40ff-bdda-2e23a08014b1","4","UNDC","Spring 2023"
"07aa7bec-9f4d-4d10-a717-69784ac04149","1","INSP","Spring 2023"
"07aa7bec-9f4d-4d10-a717-69784ac04149","4","INSP","Spring 2023"
"07b05d28-2bfb-4fcd-8c0d-2da09a78bb91","2","CSCI","Spring 2023"
"07b2d92f-c524-4479-99a2-9fb5356cc4dd","1","WUNG","Spring 2023"
"07b373e8-c643-46ce-b15b-f51d2a3d0839","1","WUNG","Spring 2023"
"07c0b4a8-37a3-4018-81ed-d5f16494777c","11","NMAJ","Spring 1999"
"07d30adc-58e1-400c-9875-3fec026d316a","4","PSCI","Spring 2021"
"07ddc7e4-b10b-43e2-b34d-3459715cdd62","16","CPLT","Spring 2021"
"07efba9f-2579-4e79-abe9-3274a4a0e177","2","BE","Spring 2023"
"07fadd20-daa6-4684-959f-e0350a187a4e","1","WUNG","Spring 2023"
"0806674c-dfaf-472a-8855-80dae99e63da","2","DMD","Spring 2021"
"08074039-e823-4cfb-8d47-c751f1b3fea9","4","UNDC","Spring 2022"
"080741fd-83a7-41d6-a6c4-858c0b1fd508","1","WUNG","Spring 2022"
"0807d4e6-c9cd-438e-a325-125b0f87b6e2","4","UNDC","Spring 2023"
"080c25e1-beaa-433c-9d91-e5e4e7151701","1","FNCE","Spring 2020"
"080c25e1-beaa-433c-9d91-e5e4e7151701","1","MGMT","Spring 2020"
"080c25e1-beaa-433c-9d91-e5e4e7151701","2","CSCI","Spring 2020"
"080e79bf-f38c-4612-8442-dfb913a1677f","4","UNDC","Spring 2022"
"08126355-1504-485b-8bb3-fae36538732b","4","UNDC","Spring 2021"
"0816a468-2726-46b3-aa84-ed549149757f","4","UNDC","Spring 2022"
"0827a773-7b2e-4b34-9e21-25b9bf3704de","1","WUNG","Spring 2023"
"0851c277-62f2-4a77-9db7-25849d534e61","4","UNDC","Spring 2022"
"085957f3-532c-4a5c-b812-2049c9eb6627","4","UNDC","Spring 2022"
"08750514-6889-4cf4-aa9e-05eeee8e865a","2","BE","Spring 2023"
"08777735-cb8e-44de-b539-0f878ee5b322","1","WUNG","Spring 2022"
"087a4e33-5c40-42d3-acd5-efe29fc139d2","4","UNDC","Spring 2022"
"089be2bb-304a-45c1-af10-7fbf476447ba","1","WUNG","Spring 2022"
